Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
4.178140458,2.550544739,-28.70430565,-18.31871223,34.14700073
4.188136458,2.734559059,-29.03060913,-17.91834831,34.22457138
4.198133458,3.0910182,-29.53445435,-17.42223358,34.42924062
4.208129458,3.385246038,-29.95073128,-16.94700432,34.57899869
4.218125458,3.663421869,-30.35967255,-16.34898758,34.67592496
4.228122458,3.888572931,-30.63469124,-15.75720024,34.66835252
4.238118458,4.047065735,-30.96991539,-15.09759521,34.69080255
4.248114458,4.175179482,-31.21899986,-14.42235756,34.64191787
4.258111458,4.285106182,-31.53631973,-13.79681396,34.68794708
4.268107458,4.30006218,-31.84823799,-13.15570068,34.72568586
4.278103458,4.240187168,-32.14218903,-12.67065239,34.8086905
